run,total_cycles,v_load_cycles,core_run_cycles,raw_wait_cycles,raw_busy_cycles,bc_busy_cycles,pv_busy_cycles,context_busy_cycles,context_backpressure_cycles,ddr_read_busy_cycles,ddr_write_busy_cycles,raw_req_count,read_beat_count,write_beat_count,context_word_count,group0_cycles,group1_cycles,group2_cycles,group3_cycles,group4_cycles,group5_cycles,group6_cycles,group7_cycles,read_command_count,write_command_count,error_detail
1,276550505,101901,276448603,325943,320823,156648615,119799808,276448601,0,412477,156913,327680,196608,131072,524288,34556038,34556059,34556055,34556059,34556062,34556062,34556062,34556052,5121,1024,0
2,276550439,101925,276448513,325854,320734,156648526,119799808,276448511,0,412412,156927,327680,196608,131072,524288,34555999,34556002,34556059,34556062,34556062,34556062,34556062,34556052,5121,1024,0
3,276550440,101932,276448507,325848,320728,156648520,119799808,276448505,0,412413,156923,327680,196608,131072,524288,34556000,34556002,34556059,34556062,34556062,34556062,34556062,34556045,5121,1024,0
4,276550592,101945,276448646,325987,320867,156648659,119799808,276448644,0,412565,156932,327680,196608,131072,524288,34556059,34556062,34556062,34556062,34556062,34556062,34556062,34556062,5121,1024,0
5,276550512,101950,276448561,325902,320782,156648574,119799808,276448559,0,412485,156944,327680,196608,131072,524288,34556006,34556050,34556062,34556062,34556052,34556062,34556062,34556052,5121,1024,0
6,276550566,101917,276448648,325988,320868,156648660,119799808,276448646,0,412538,156923,327680,196608,131072,524288,34556060,34556062,34556062,34556062,34556062,34556062,34556062,34556062,5121,1024,0
7,276550595,101931,276448663,326004,320884,156648676,119799808,276448661,0,412568,156934,327680,196608,131072,524288,34556076,34556062,34556062,34556062,34556062,34556062,34556062,34556062,5121,1024,0
8,276550451,101939,276448511,325852,320732,156648524,119799808,276448509,0,412424,156910,327680,196608,131072,524288,34556006,34556003,34556059,34556062,34556052,34556055,34556059,34556062,5121,1024,0
9,276550599,101952,276448646,325987,320867,156648659,119799808,276448644,0,412572,156929,327680,196608,131072,524288,34556059,34556062,34556062,34556062,34556062,34556062,34556062,34556062,5121,1024,0
10,276550507,101905,276448601,325942,320822,156648614,119799808,276448599,0,412480,156927,327680,196608,131072,524288,34556037,34556059,34556072,34556052,34556052,34556062,34556062,34556052,5121,1024,0
