run,total_cycles,v_load_cycles,core_run_cycles,raw_wait_cycles,raw_busy_cycles,bc_busy_cycles,pv_busy_cycles,context_busy_cycles,context_backpressure_cycles,ddr_read_busy_cycles,ddr_write_busy_cycles,raw_req_count,read_beat_count,write_beat_count,context_word_count,group0_cycles,group1_cycles,group2_cycles,group3_cycles,group4_cycles,group5_cycles,group6_cycles,group7_cycles,read_command_count,write_command_count,error_detail,rope_busy_cycles,qk_busy_cycles,mask_busy_cycles,softmax_busy_cycles,bc_backend_busy_cycles,capture_busy_cycles,context_transfer_cycles,bc_pv_overlap_cycles,core_idle_cycles,repack_stall_cycles,pv_feed_stall_cycles,softmax_stall_cycles,interstage_wait_cycles
1,276550418,101917,276448500,325841,320721,156648513,119799808,276448498,0,412391,156835,327680,196608,131072,524288,34556011,34555997,34556059,34556055,34556059,34556057,34556050,34556059,5121,1024,0,156648513,133431296,133266432,4916224,133712712,156648497,524288,0,2,0,115605520,0,24
2,276550500,101914,276448585,325926,320806,156648598,119799808,276448583,0,412473,156826,327680,196608,131072,524288,34556021,34556052,34556059,34556062,34556055,34556059,34556062,34556062,5121,1024,0,156648598,133431296,133266432,4916224,133712712,156648582,524288,0,2,0,115605520,0,24
3,276550532,101918,276448613,325954,320834,156648626,119799808,276448611,0,412505,156834,327680,196608,131072,524288,34556059,34556054,34556050,34556059,34556062,34556055,34556059,34556062,5121,1024,0,156648626,133431296,133266432,4916224,133712712,156648610,524288,0,2,0,115605520,0,24
4,276550560,101953,276448606,325947,320827,156648619,119799808,276448604,0,412533,156838,327680,196608,131072,524288,34556052,34556059,34556057,34556050,34556059,34556062,34556056,34556058,5121,1024,0,156648619,133431296,133266432,4916224,133712712,156648603,524288,0,2,0,115605520,0,24
5,276550462,101948,276448513,325854,320734,156648526,119799808,276448511,0,412435,156832,327680,196608,131072,524288,34555999,34556003,34556058,34556053,34556071,34556062,34556055,34556059,5121,1024,0,156648526,133431296,133266432,4916224,133712712,156648510,524288,0,2,0,115605520,0,24
6,276550493,101895,276448597,325938,320818,156648610,119799808,276448595,0,412466,156830,327680,196608,131072,524288,34556055,34556057,34556050,34556059,34556057,34556050,34556059,34556057,5121,1024,0,156648610,133431296,133266432,4916224,133712712,156648594,524288,0,2,0,115605520,0,24
7,276550474,101950,276448523,325864,320744,156648536,119799808,276448521,0,412447,156829,327680,196608,131072,524288,34555999,34556022,34556059,34556062,34556056,34556058,34556054,34556060,5121,1024,0,156648536,133431296,133266432,4916224,133712712,156648520,524288,0,2,0,115605520,0,24
8,276550444,101915,276448528,325869,320749,156648541,119799808,276448526,0,412417,156840,327680,196608,131072,524288,34556008,34556025,34556052,34556062,34556062,34556045,34556059,34556062,5121,1024,0,156648541,133431296,133266432,4916224,133712712,156648525,524288,0,2,0,115605520,0,24
9,276550545,101908,276448636,325976,320856,156648648,119799808,276448634,0,412517,156837,327680,196608,131072,524288,34556065,34556062,34556056,34556058,34556062,34556062,34556062,34556055,5121,1024,0,156648648,133431296,133266432,4916224,133712712,156648632,524288,0,2,0,115605520,0,24
10,276550421,101933,276448487,325828,320708,156648500,119799808,276448485,0,412394,156822,327680,196608,131072,524288,34556063,34556062,34556062,34556045,34555999,34556002,34556043,34556058,5121,1024,0,156648500,133431296,133266432,4916224,133712712,156648484,524288,0,2,0,115605520,0,24
