run,ticks,latency_ns,status,exact_mismatches,strict_abs_failures,combined_failures
1,61455674,1843688656,3541174138,225853,7,0
2,61455693,1843689226,3546548090,225853,7,0
3,61455701,1843689466,3548645242,225853,7,0
4,61455713,1843689826,3550480250,225853,7,0
5,61455687,1843689046,3544057722,225853,7,0
6,61455693,1843689226,3546089338,225853,7,0
7,61455691,1843689166,3544844154,225853,7,0
8,61455687,1843689046,3542878074,225853,7,0
9,61455703,1843689526,3549497210,225853,7,0
10,61455676,1843688716,3541370746,225853,7,0
